Structure [idcode]	dwInChI	dwInChI-Key	
fb}A@@@ISKOJjjbdkPXisTttpTEDLMP@	InChI=1S/C19H18O/c1-2-20-18-12-14-8-4-6-10-16(14)19-15-9-5-3-7-13(15)11-17(18)19/h3-6,8,10-13H,2,7,9H2,1H3/t13-/m1/s1	XBMRAPWYARFQDB-CYBMUJFWSA-N	
fbe`r@O\MYr\`bLbbbTQfbeRcIPPLTsTq@T@@	InChI=1S/C12H10ClNO6/c13-7-4-2-1-3-6(7)10(17)9(12(19)20)11(18)14-5-8(15)16/h1-4,9H,5H2,(H,14,18)(H,15,16)(H,19,20)/t9-/m1/s1	BCWKOMVTFTZXQG-SECBINFHSA-N	
fbm@`@@IRfum]YVYqVhyh@@B`B@@@@	InChI=1S/C18H16O2/c1-20-18-8-7-15-10-14(5-6-16(15)12-18)9-13-3-2-4-17(19)11-13/h2-8,10-12,19H,9H2,1H3	JAHMQPALKMHOQC-UHFFFAOYSA-N	
fnk@`@@HrJZJJJIIKZEHRcA]FkV`@@@`ihBaz@@	InChI=1S/C21H18O2/c22-21(23)20-17-12-6-4-10-15(17)19(14-8-2-1-3-9-14)16-11-5-7-13-18(16)20/h2,4-8,10-14H,1,3,9H2,(H,22,23)/t14-/m0/s1	YYLNQFZEDRADNB-AWEZNQCLSA-N	
fncPpBHA@awjmaJNrJZJJIHjJEKPRdyZ@bJVjiaA@t@	InChI=1S/C15H14N2O6/c1-8-11(14(18)19)6-3-9(13(8)17(22)23)2-4-10-5-7-12(16-10)15(20)21/h3-4,6-7,16H,2,5H2,1H3,(H,18,19)(H,20,21)	XJIPBUIVNUOAED-UHFFFAOYSA-N	
egdXLH@Khdm`@cIEDdeEdheDhbeEmaQqHxDUuL]PHQUUMUUUTJxZSrUH@	InChI=1S/C25H27NO3S/c1-13-12-30-21-8-19-18(20(23(13)21)9-22(28)29)7-16(11-27)17-6-5-14-3-2-4-15(10-26)24(14)25(17)19/h2,4-5,8,12,15,24-25,27H,3,6-7,9-11,26H2,1H3,(H,28,29)/t15-,24+,25-/m1/s1	QTDWVJUIASTKHO-CPKIHRHESA-N	
flu@`@@IrQQJIJKJHhVc^CFjjhFHJcDEa^P@	InChI=1S/C17H22O2/c1-2-3-11-19-16-10-7-12-5-4-6-13-15(18)9-8-14(16)17(12)13/h4-6,8-9,14-16,18H,2-3,7,10-11H2,1H3/t14-,15-,16+/m1/s1	LOHKOIXEWRZWNR-OAGGEKHMSA-N	
fcg@H@@HDZqQsrJZJJJJKHiIQZIRTtAPSUSUSL@aF@	InChI=1S/C20H24O8/c1-3-5-6-7-14-13(10-12(4-2)18(22)23)11-15(28-9-8-21)17(20(26)27)16(14)19(24)25/h4,10-11,21H,2-3,5-9H2,1H3,(H,22,23)(H,24,25)(H,26,27)	GSLPUWKAMJFBOU-UHFFFAOYSA-N	
ffc@R@NRLTDadTTReRTRbRRXIwlu`HbjZjYF@@	InChI=1S/C17H15FO4/c1-10-13(18)6-7-14(17(10)20)21-9-16-12-5-3-2-4-11(12)15(8-19)22-16/h2-7,19-20H,8-9H2,1H3	PKMDAHIJLIMLGW-UHFFFAOYSA-N	
eg`XJ@@A@DLaclbfbRfbTRfRbabnWDegbvsPAESLtEPED@@@	InChI=1S/C24H25NO5/c1-5-16-11-17(26)13-25(16)21-10-15(24(28)29)6-8-19(21)23(14(2)3)20-9-7-18(30-4)12-22(20)27/h6-13,26-27H,5H2,1-4H3,(H,28,29)	ZJLYIYSQXWSGJO-UHFFFAOYSA-N	
fkXb@BJuYwSYADYEEEDdeDebhXheDrSoSOAAQSUTpPTB@@@	InChI=1S/C20H23ClN6O2/c1-4-22-10-13-17(21)14(9-15-18(13)24-11-23-15)25-20(29)26-19(28)12-7-5-6-8-16(12)27(2)3/h5-9,11,22H,4,10H2,1-3H3,(H,23,24)(H2,25,26,28,29)	KGMZTYCVULQUPJ-UHFFFAOYSA-N	
eodXL@@L@DFLbbRbfbbTRbtQrNb\RbjJFzVZi`@@@@@bZ@@@@	InChI=1S/C27H23NO3/c1-3-18(2)17-20-15-16-24(23-13-7-6-11-21(20)23)26(29)31-27(30)28-25-14-8-10-19-9-4-5-12-22(19)25/h3-16H,17H2,1-2H3,(H,28,30)	WAKHKLISBLTMOD-UHFFFAOYSA-N	
ed^TBH@BEhDLJ`@cIIJhheDdmEBeihdibiiXEEeuL]||BmPDEADUM@aDIQ@u@@	InChI=1S/C27H24N2O4S/c1-15-10-17-7-6-16-8-9-21-23(25(16)27(17)28-13-15)11-18(14-30)22-12-24(29-34(31,32)33)19-4-2-3-5-20(19)26(21)22/h2-3,6,8-13,25,29-30H,4-5,7,14H2,1H3,(H,31,32,33)/t25-/m0/s1	HXYKWZZTGIATDA-VWLOTQADSA-N	
fnsQ`@DNAHNQIQQJIIIQXrBuYt\mMULTQEP`@@	InChI=1S/C18H20N2O3/c1-18(2,3)17-19-9-16(23-17)13-7-11-5-4-6-15(22)12(11)8-14(13)20-10-21/h4-6,9-10,22H,7-8H2,1-3H3,(H,20,21)	QAHGMKMGFLBQQT-UHFFFAOYSA-N	
ek`PDL@AI@HabHTbLbbbbbfvTTQbfbvxt|rZFVNfjfh``@HB@ACATP@	InChI=1S/C24H19Cl3O2/c1-3-14-11-12-15-8-4-5-9-16(15)23(14)29-24(28)19-20(25)17-10-6-7-13(2)18(17)21(26)22(19)27/h4-12,20-21H,3H2,1-2H3/t20-,21+/m0/s1	HXOKFUOEAIAYCB-LEWJYISDSA-N	
figa`@N`PIIe[eYu[]eFCfJV}Zijj```BDHRP@	InChI=1S/C21H21NO3/c1-4-18(23)25-17-11-14-10-13-8-9-22-12(2)19(13)15-6-5-7-16(20(14)15)21(17)24-3/h5-6,8-10,16H,4,7,11H2,1-3H3/t16-/m0/s1	BQDDEYXOGMATHE-INIZCTEOSA-N	
fa{``@M@UdTTRbtTJbtVeYKUhyKVBAb``@Bb@@@	InChI=1S/C21H19NO2/c1-3-13-7-6-9-15-14(13)11-12-17-19(15)20(21(24)22(17)2)16-8-4-5-10-18(16)23/h4-12,23-24H,3H2,1-2H3	WFBPUQFSESOJID-UHFFFAOYSA-N	
fmw@R@NNzL@QdbbbbRrjTRTRfaJRMfm@tEEPADuP@@@	InChI=1S/C22H24O4S/c1-5-19-13(4)20-14(6-7-18(23)21(20)27-19)11-26-17-9-15(12(2)3)8-16(10-17)22(24)25/h6-10,12,23H,5,11H2,1-4H3,(H,24,25)	UGYXUZAMDRGXCU-UHFFFAOYSA-N	
fns@b@Le@DYHheDdkEDmidR`eAcPIDPDDuP@@@	InChI=1S/C20H20O2S/c1-4-22-20(21)16-9-8-13(2)17(11-16)10-15-6-5-7-18-14(3)12-23-19(15)18/h5-9,11-12H,4,10H2,1-3H3	KFLNSDZCWGOJBV-UHFFFAOYSA-N	
fk@H@@HLEKUgrJZJIYJJFFZJJZXTk^GmhB@HafBBb@@@	InChI=1S/C21H16O8/c1-9-6-13-11(3-5-15(23)14(13)7-12(9)21(28)29)18(25)20(27)17-10(8-22)2-4-16(24)19(17)26/h2-7,22-24,26H,8H2,1H3,(H,28,29)	LOWVUJVWTTUCNC-UHFFFAOYSA-N	
fg@p@@HYM^|bbRbrbTRRJbRTTohcNuSTDQEA@tP@@@	InChI=1S/C24H28O6/c1-3-4-8-23(27)30-24(28)12-11-19-10-9-18(16-22(25)26)14-20(19)13-17-6-5-7-21(15-17)29-2/h5-7,9-10,14-15H,3-4,8,11-13,16H2,1-2H3,(H,25,26)	ZDQMDBNBZYPOOK-UHFFFAOYSA-N	
fbe`p@C@Ukr\yEEDddhjieF\ZYjVjijCh@	InChI=1S/C13H15NO6/c14-12(18)5-8-4-10(16)7(3-11(8)17)1-2-9(15)6-13(19)20/h3-4,9,15H,1-2,5-6H2,(H2,14,18)(H,19,20)/t9-/m1/s1	GUKDJZINMFIEGE-SECBINFHSA-N	
fbu``@M@UdTTTRTRJaReYNV`XJb@@@Ph`	InChI=1S/C17H17NO2/c1-18-17(20)15(12-13-8-4-2-5-9-13)16(19)14-10-6-3-7-11-14/h2-11,18,20H,12H2,1H3	MWOABVWOQDWMKX-UHFFFAOYSA-N	
fbe`c@BIrCDuHFdLbbbvRTaRRcNPPEUUTp@@	InChI=1S/C14H18BrF2NO2/c15-11-5-4-10(9-12(11)18)6-8-14(16,17)7-2-1-3-13(19)20/h4-5,9H,1-3,6-8,18H2,(H,19,20)	VPYZRICUYIPKIR-UHFFFAOYSA-N	
fikAp@@HEHJZyEMEDhdeDeDhuis^mREAQTuUCCt`Q@	InChI=1S/C18H20O7/c1-4-24-9-13(18(21)22)12-8-14(20)11-6-5-7-15(23-3)16(11)17(12)25-10(2)19/h5,7-9,15,20H,4,6H2,1-3H3,(H,21,22)/t15-/m0/s1	AOCNZXFCRROARS-HNNXBMFYSA-N	
e`TTBH@Kobaim`HcHhdieEmDeLhbieMMPqIhEEUPAD@EMSSUpHPHy@@	InChI=1S/C25H25ClN2O4/c1-15(29)21-12-16(11-19-4-2-3-17-7-9-20(26)13-22(17)19)5-6-18(21)8-10-24(30)32-25(31)23(28)14-27/h2-6,12,20,23H,7-11,13,28H2,1H3/t20-,23+/m0/s1	QIJRDCASTOZMSW-NZQKXSOJSA-N	
ebVPAH@AO@lbfhTPHcHhhhhdlmEELhcMMDmDphMm}cAARUS@u@APS@@@@	InChI=1S/C27H23ClO8/c1-13-8-9-16(25(31)14(13)2)10-21(29)20-11-19(27(34)35)15(3)18(24(20)28)12-23(30)36-22-7-5-4-6-17(22)26(32)33/h4-11,29,31H,12H2,1-3H3,(H,32,33)(H,34,35)	KETWSPKBBAHORR-UHFFFAOYSA-N	
fegQP@BI@apRyEMMEEEEEEkldmF}fJVj@hJijihYFIIPZ`	InChI=1S/C19H22N2O5/c1-2-3-4-5-9-6-10-8-11-14(17(23)18(24)21-11)15(16(20)19(25)26)13(10)12(22)7-9/h3-4,7-8,12,16,21-24H,2,5-6,20H2,1H3,(H,25,26)/t12-,16+/m1/s1	FYMDUKMMQJJFPG-WBMJQRKESA-N	
fi{`P@B`QJNQSQQJJVJJYY[BUyK^m@QCUUDA@HLkH@	InChI=1S/C20H21NO4/c1-10-6-7-12-14(8-10)19(23)11(2)17(15(12)9-21)18-13(20(24)25)4-3-5-16(18)22/h3-8,15,19,22-23H,9,21H2,1-2H3,(H,24,25)/t15-,19-/m0/s1	UVBDDNAIKDDCJH-KXBFYZLASA-N	
eodXF@@O@DIGBklbfRTTTRbRafbLTrt|bjFfv^ZjBBhhJ@@hDH@h@@	InChI=1S/C24H23NO6/c1-13-5-2-8-16-17(26)11-12-19(21(13)16)31-23-15(7-4-10-20(28)29)14-6-3-9-18(27)22(14)25-24(23)30/h2-3,5,8-9,11-12,18,26-27H,4,6-7,10H2,1H3,(H,25,30)(H,28,29)/t18-/m0/s1	CKPMHWGZJLVSIW-SFHVURJKSA-N	
